slug,title,author,classification,is_published,publication_status,rights_tier,verification_status,qa_status,approved_to_publish,reader_enabled,preview_enabled,audio_enabled,audiobook_enabled,source_url_present,source_hash_present,content_hash_present,provenance_hash_present,public_route,reader_route,sitemap_inclusion
dracula,Dracula,Bram Stoker,LIVE_APPROVED,True,LIVE_APPROVED,A,approved,QA_PASSED,True,True,True,False,False,True,True,True,True,/book/dracula,/reader/dracula,True
kshudhita-pashan,Kshudhita Pashan,Rabindranath Tagore,PIPELINE_CANDIDATE,False,PIPELINE_CANDIDATE,A,approved,unknown,False,False,False,False,False,False,False,False,False,,,False
